uri	Titre	Verbalisation française	Source	Description	Est tête d'arborescence	Terme Générique	Cette ressource dans ISTEX	Nom du jeu de données	Modèle conceptuel	Description du jeu de données	Créateur	Editeur	date de création	Licence	Source de la licence
ark:/67375/NHZ-92S48CSW-Q	Economics	Economie	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Economics covers resources on all aspects, both theoretical and applied, of the production, distribution, and consumption of goods and services. These include generalist as well as specialist resources, such as political economy, agricultural economics, macroeconomics, microeconomics, econometrics, trade, and planning.		Social Science Citation Index	"categories.wos.raw:(""economics"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-HHFM8NP8-D	Sport Sciences	Sciences du sport	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Sport Sciences covers resources on the applied physiology of human performance, physical conditioning for sports participation, optimal nutrition for sports performance, and the prevention and treatment of sports-related injuries and diseases. This category also includes resources on sport psychology and sociology. 		Science Citation Index Expanded	"categories.wos.raw:(""sport sciences"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-WCMM2MZX-G	Physics, Nuclear	Physique, Nucléaire	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Physics, Nuclear includes resources on the study of nuclear structure, decay, radioactivity, reactions, and scattering. Resources in this category focus on low-energy physics. High-energy physics is covered in the PHYSICS, PARTICLES & FIELDS category. 		Science Citation Index Expanded	"categories.wos.raw:(""physics, nuclear"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-3LN0WDL9-9	Ecology	Ecologie	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Ecology covers resources concerning many areas relating to the study of the interrelationship of organisms and their environments, including ecological economics, ecological engineering, ecotoxicology, ecological modeling, evolutionary ecology, biogeography, chemical ecology, marine ecology, wildlife research, microbial ecology, molecular ecology, and population ecology. This category also includes general ecology resources and ones devoted to particular ecological systems. 		Science Citation Index Expanded	"categories.wos.raw:(""ecology"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-HM4RLH50-R	Physics, Fluids & Plasmas	Physique, des Fluides & des Plasmas	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Physics, Fluids & Plasmas covers resources on the kinetic and transport theory of fluids, the physical properties of gases, and the physics of plasmas and electric discharges. This category may include resources on nuclear fusion. 		Science Citation Index Expanded	"categories.wos.raw:(""physics, fluids & plasmas"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-4K2CTN7V-H	Chemistry, Analytical	Chimie, Analytique	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Chemistry, Analytical covers resources on the techniques that yield any type of information about chemical systems. Topics include chromatography, thermal analysis, chemometrics, separation techniques, pyrolysis, and electroanalytical and radioanalytical chemistry. Some spectroscopy resources may be included in this category when focusing on analytical techniques and applications in chemistry. 		Science Citation Index Expanded	"categories.wos.raw:(""chemistry, analytical"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-WLG9RD7B-6	Public, Environmental & Occupational Health	 Santé publique, environnementale et professionnelle 	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Public, Environmental & Occupational Health covers resources on social medicine, health behavior, health education, safety research, and community mental health. Resources concerned with the health of particular groups such as adolescents, elderly, or women are included in this category. 		Social Science Citation Index	"categories.wos.raw:(""public, environmental & occupational health"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-GSTCKKM7-8	Geography, Physical	Géographie, Physique	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Geography, Physical covers resources dealing with the differentiation of areas of the Earth's surface as shown in the character, arrangement, and interrelations over the world of such elements as climate, elevation, soil, vegetation, population, land use, industries, or states, as well as the unit areas formed by the complex of these individual elements. Resources which focus on economic, human, and urban topics are covered in the SSCI GEOGRAPHY category. 		Science Citation Index Expanded	"categories.wos.raw:(""geography, physical"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-J8KJ265H-7	Pharmacology & Pharmacy	Pharmacologie & Pharmacie	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Pharmacology & Pharmacy covers resources on the discovery and testing of bioactive substances, including animal research, clinical experience, delivery systems, and dispensing of drugs. This category also includes resources on the biochemistry, metabolism, and toxic or adverse effects of drugs. 		Science Citation Index Expanded	"categories.wos.raw:(""pharmacology & pharmacy"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-BBKST5FK-V	Education, Special	Education, Spécialisée	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Education, Special covers resources that are concerned with the education and development of persons with special needs, including the gifted as well as those with learning disabilities. 		Social Science Citation Index	"categories.wos.raw:(""education, special"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-CWRMV3WB-S	Psychology, Clinical	Psychologie, Clinique	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Psychology, Clinical covers resources concerned with the combination of psychological therapy and clinical treatment such as behavior research and therapy, cognitive therapy, family therapy, marital and sexual therapy, psychotherapy, and rehabilitation psychology.		Social Science Citation Index	"categories.wos.raw:(""psychology, clinical"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-4XDHMKBW-G	Science Citation Index Expanded				Catégorie Web of Science		"categories.wos.raw:(""science citation index expanded"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-WZJWXP3K-W	Food Science & Technology	Science et Technologie alimentaires	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Food Science & Technology covers resources concerning various aspects of food research and production, including food additives and contaminants, food chemistry and biochemistry, meat science, food microbiology and technology, dairy science, food engineering and processing, cereal science, brewing, and food quality and safety.		Science Citation Index Expanded	"categories.wos.raw:(""food science & technology"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
