uri	Titre	Verbalisation française	Source	Description	Est tête d'arborescence	Terme Générique	Cette ressource dans ISTEX	Nom du jeu de données	Modèle conceptuel	Description du jeu de données	Créateur	Editeur	date de création	Licence	Source de la licence
ark:/67375/NHZ-Z5TF7MZR-C	Chemistry, Inorganic & Nuclear	Chimie, Inorganique & Nucléaire	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Chemistry, Inorganic & Nuclear includes resources on both inorganic and nuclear chemistry. Chemistry, Inorganic covers resources that are concerned with non-carbon elements and the preparation, properties, and reactions of their compounds. It also includes resources on the study of certain simple carbon compounds, including the oxides, carbon disulfide, the halides, hydrogen cyanide, and salts, such as the cyanides, cyanates, carbonates, and hydrogencarbonates. Resources on coordination chemistry and organo-metallic compounds (those containing a carbon-metal bond) are also covered in this category. Chemistry, Nuclear includes resources on the study of the atomic nucleus, including fission and fusion reactions and their products. This category also covers radiochemistry resources focusing on such topics as the preparation of radioactive compounds, the separation of isotopes by chemical reactions, the use of radioactive labels in studies of mechanisms, and experiments on the chemical reactions and compounds of transuranic elements.		Science Citation Index Expanded	"categories.wos.raw:(""chemistry, inorganic & nuclear"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-036SSCQ9-3	History	Histoire	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	The History category in Social Science covers resources that are primarily concerned with political, social, and economic history. This category also includes history resources that focus on a particular group, country or geographic area.		Social Science Citation Index	"categories.wos.raw:(""history"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-9L4QQX4H-J	Computer Science, Information Systems	Science informatique, Systèmes d'information	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Computer Science, Information Systems covers resources that focus on the acquisition, processing, storage, management, and dissemination of electronic information that can be read by humans, machines, or both. This category also includes resources for telecommunications systems and discipline-specific subjects such as medical informatics, chemical information processing systems, geographical information systems, and some library science. 		Science Citation Index Expanded	"categories.wos.raw:(""computer science, information systems"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-SLHDMGS2-9	Developmental Biology	Biologie du développement	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Developmental Biology includes resources focused on the specific mechanisms of cell, tissue, and organism development, as well as gametogenesis, fertilization, biochemistry and molecular genetic control of development, cell biology of gametes and zygotes, and embryology. 		Science Citation Index Expanded	"categories.wos.raw:(""developmental biology"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-FX7B4Z5Q-8	Engineering, Mechanical	Génie, Mécanique	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Engineering, Mechanical includes resources on the generation, transmission, and use of heat and mechanical power, as well as with the production and operation of tools, machinery, and their products. Topics in this category include heat transfer and thermodynamics, fatigue and fracture, wear, tribology, energy conversion, hydraulics, pneumatics, microelectronics, plasticity, strain analysis, and aerosol technology. 		Science Citation Index Expanded	"categories.wos.raw:(""engineering, mechanical"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-350XKNS0-F	Medical Informatics	Informatique médicale	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Medical Informatics covers resources on health care information in clinical studies and medical research. This category includes resources on the evaluation, assessment, and use of health care technology, its consequences for patients, and its impact on society. 		Science Citation Index Expanded	"categories.wos.raw:(""medical informatics"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-016J25HS-D	Dance	Danse	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Dance includes resources on all forms of the art - ballet, modern, jazz, etc. Performance reviews are covered in this category, as are resources on dance history. S		Arts and Humanities Citation Index	"categories.wos.raw:(""dance"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-W3Q2LXFP-H	Health Care Sciences & Services	Services & Sciences de la santé	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Health Care Sciences & Services covers resources on health services, hospital administration, health care management, health care financing, health policy and planning, health economics, health education, history of medicine, and palliative care. 		Science Citation Index Expanded	"categories.wos.raw:(""health care sciences & services"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-Z2M20QT8-4	Literature, African, Australian, Canadian	Littérature, Africaine, Australienne, Canadienne	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	"Literature, African, Australian, Canadian includes resources concerned with literature written in English from the African continent, as well as Australia, New Zealand, and Canada (sometimes referred to as ""Commonwealth Literature""). "		Arts and Humanities Citation Index	"categories.wos.raw:(""literature, african, australian, canadian"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-LH2ZZFT6-1	Astronomy & Astrophysics	Astronomie & Astrophysique	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Astronomy & Astrophysics covers resources that focus on the science of the celestial bodies and their magnitudes, motions, and constitution. Topics include the properties of celestial bodies such as luminosity, size, mass, density, temperature, and chemical composition, as well as their origin and evolution. This category includes some resources on planetary science that focus on astrophysical aspects of planets.General resources on planetary science are placed in the GEOCHEMISTRY & GEOPHYSICS category. 		Science Citation Index Expanded	"categories.wos.raw:(""astronomy & astrophysics"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-2VL49Q1P-9	Genetics & Heredity	Génétique & Hérédité	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Genetics & Heredity includes resources that deal with the structure, functions, and properties of genes, and the characteristics of inheritance. This category also considers heritable traits, population genetics, frequency and distribution of polymorphism, as well as inherited diseases and disorders of the replicative process. The category is distinguishable from Biochemistry & Molecular Biology by its specific emphasis on the gene as a single functional unit, and on the gene's effect on the organism as a whole. 		Science Citation Index Expanded	"categories.wos.raw:(""genetics & heredity"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-NLMKPFM2-G	Engineering, Aerospace	Génie, Aéronautique	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Engineering, Aerospace includes resources concerned with astronautics, aeronautics, aerospace, and aviation. Topics covered include the design and construction of aircraft, space vehicles, missiles, satellites, instrumentation, and power units, as well as the launch, flight, and guidance of crafts in the earth's atmosphere or in space. Resources in this category draw from many fields, including mechanics and mechanical engineering, automation, instrumentation, and materials science. 		Science Citation Index Expanded	"categories.wos.raw:(""engineering, aerospace"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-TR4HZGPB-J	Computer Science, Theory & Methods	Science informatique, Théorie & Méthodes	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Computer Science, Theory & Methods includes resources that emphasize experimental computer processing methods or programming techniques such as parallel computing, distributed computing, logic programming, object-oriented programming, high-speed computing, and supercomputing. 		Science Citation Index Expanded	"categories.wos.raw:(""computer science, theory & methods"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-4KTGNSWD-C	Psychology, Biological	Psychologie, Biologique	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Psychology, Biological includes resources concerned with the biological basis of psychological states and processes. Biopsychology, psychophysiology, psychopharmacology, and comparative psychology resources are covered in this category.		Social Science Citation Index	"categories.wos.raw:(""psychology, biological"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-PL756M4P-H	Medical Laboratory Technology	Technologie de laboratoire médical	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Medical Laboratory Technology covers resources on the testing, methods, and equipment used in clinical, medical, hospital, and pathology laboratories, including clinical chemistry and biochemical analysis of laboratory samples. Resources on the development and refinement of the diagnostic technologies used in these laboratories are also covered.		Science Citation Index Expanded	"categories.wos.raw:(""medical laboratory technology"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-9CKL93S0-2	Philosophy	Philosophie	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Philosophy covers resources on every branch of philosophy including logic, metaphysics, epistemology, descriptive ethics, and metaphilosophy. Normative ethics is covered in the SSCI. 		Arts and Humanities Citation Index	"categories.wos.raw:(""philosophy"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-14FJC1FP-P	History & Philosophy of Science	Histoire et Philosophie de la Science	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	History & Philosophy of Science covers resources on the historical and logical connections in the development of the scientific method and in scientific discoveries.		Science Citation Index Expanded	"categories.wos.raw:(""history & philosophy of science"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-VK83Z0N1-N	Management	Gestion	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Management covers resources on management science, organization studies, strategic planning and decision-making methods, leadership studies, and total quality management. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/		Social Science Citation Index	"categories.wos.raw:(""management"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-8G9R9CM4-6	History	Histoire	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	History includes resources on most areas of the topic -- world, national, regional, ethnic, military, and nautical -- with the exception of History and Philosophy of Science, which is covered in its own category. Some resources in this category are general in scope, others focus on a particular geographical area. There is some overlap with the SSCI coverage of the topic, though the SSCI focuses on political, social, or economic topics. 		Arts and Humanities Citation Index	"categories.wos.raw:(""history"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-K6PRHH2P-N	Planning & Development	Planification & Développement 	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Planning & Development is concerned with resources on the economics and social development of both underdeveloped and industrialized areas. The resources in this category focus on subjects such as economic forecasting, development studies, policy-making strategies, theories of planning, and the growth of the third world.		Social Science Citation Index	"categories.wos.raw:(""planning & development"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-69VBXZ2S-R	Computer Science, Interdisciplinary Applications	Science informatique, Applications interdisciplinaires	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Computer Science, Interdisciplinary Applications includes resources concerned with the application of computer technology and methodology to other disciplines, such as information management, engineering, biology, medicine, environmental studies, geosciences, arts and humanities, agriculture, chemistry, and physics. 		Science Citation Index Expanded	"categories.wos.raw:(""computer science, interdisciplinary applications"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-F92GCD1F-0	Engineering, Industrial	Génie, Industriel	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Engineering, Industrial includes resources that focus on engineering systems that integrate people, materials, capital, and equipment to provide products and services. Relevant topics covered in the category include operations research, process engineering, productivity engineering, manufacturing, computer-integrated manufacturing (CIM), industrial economics, and design engineering. 		Science Citation Index Expanded	"categories.wos.raw:(""engineering, industrial"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-K2D8XCRC-Z	Forestry	Sylviculture	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Forestry covers resources concerning the science and technology involved in establishing, maintaining and managing forests for various uses, including wood production, water resource management, wildlife conservation and recreation. 		Science Citation Index Expanded	"categories.wos.raw:(""forestry"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-LCT5JRK0-C	Transplantation	Transplantation	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Transplantation covers resources that focus on the assimilation of grafted tissue and the reconstitution of removed organs or parts of organs. The coverage focuses on transplantation procedures and the maintenance of transplanted tissues or organs. Specific transplantation coverage focuses on heart, lung, kidney, and bone marrow. 		Science Citation Index Expanded	"categories.wos.raw:(""transplantation"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-Q4XV755N-3	Demography	Démographie	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Demography includes resources on human populations, especially with regard to their size, density, distribution, and vital statistics. Resources covered in this category are concerned with research in migration patterns, social biology, fertility and contraception, as well as demographic forecasting, environmental and economic factors, and life span studies. 		Social Science Citation Index	"categories.wos.raw:(""demography"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-V075M4N5-3	Materials Science, Ceramics	Science des matériaux, Céramiques	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Materials Science, Ceramics covers resources that deal with inorganic materials with high-temperature melting points, including silicates and aluminosilicates, refractory metal oxides and metal nitrides, and borides. This category also includes resources discussing products such as earthenware, porcelain, brick, glass, and vitreous enamels. 		Science Citation Index Expanded	"categories.wos.raw:(""materials science, ceramics"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-97NQ9909-1	Ornithology	Ornithologie	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Ornithology covers resources concerning many aspects of the study of birds, including avian biology, field ornithology, avian biochemistry and physiology, avian systematics and taxonomy, raptor research, bird behavior and migration. 		Science Citation Index Expanded	"categories.wos.raw:(""ornithology"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-1CS92QZQ-P	Chemistry, Physical	Chimie, Physique		Chemistry, Physical includes resources on photochemistry, solid state chemistry, kinetics, catalysis, quantum chemistry, surface chemistry, electrochemistry, chemical thermodynamics, thermophysics, colloids, fullerenes, and zeolites. 		Science Citation Index Expanded	"categories.wos.raw:(""chemistry, physical"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
