uri	Nom de la catégorie	Source de la catégorie	Libellé en français	Description	Est tête d'arborescence	Terme Générique	Terme Spécifique	Cet item dans catégorie INIST	Cette ressource dans ISTEX	Nom du jeu de données	Description du jeu de données	Modèle conceptuel	Créateur	Editeur	Date de Création	Licence	Site de la licence
ark:/67375/Q4W-1QVVGQM7-D	Gerontology	http://www.science-metrix.com/fr/classification	Gérontologie	La gérontologie (du grec ancien γέρων / gérôn « vieillard » et λογία / logía « étude ») est un champ d'étude qui porte sur le vieillissement humain, ses conséquences et son implication au sens le plus large : biologie et physiologie des organismes vivants, psychologie, santé, santé publique, économie, société, démographie, anthropologie, sociologie et plus généralement la plupart des sciences humaines. 		Public Health & Health Services		https://inist-category.data.istex.fr/ark:/67375/RZL-S1PZL8XH-8	"categories.scienceMetrix.raw:(""gerontology"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-HBQQRRB2-Q	Health Policy & Services	http://www.science-metrix.com/fr/classification	Politiques et services de santé	Les politiques de santé (ou politiques sanitaires, ou encore politiques de santé publique) comprennent l’ensemble des choix stratégiques des pouvoirs publics et privés pour améliorer l’état de santé despopulations dont ils ont la responsabilité. 		Public Health & Health Services		https://inist-category.data.istex.fr/ark:/67375/RZL-S1PZL8XH-8	"categories.scienceMetrix.raw:(""health policy & services"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-QHGMTRTR-X	Historical Studies	http://www.science-metrix.com/fr/classification	Études historiques			Communication & Textual Studies	Anthropology ; Archaeology ; Classics ; Archaeology ; Classics ; History ; History of Science, Technology & Medicine ; History of Social Sciences	https://inist-category.data.istex.fr/ark:/67375/RZL-D8HWLQ3L-M	"categories.scienceMetrix.raw:(""historical studies"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-908H9DM5-K	Oncology & Carcinogenesis	http://www.science-metrix.com/fr/classification	Oncologie	L'oncologie ou carcinologie ou cancérologie est la spécialité médicale d'étude, de diagnostic et de traitement des cancers. Le terme vient du grec onkos, signifiant vrac, masse ou tumeur, et le suffixe -logie, signifiant « étude de ».		Clinical Medicine		https://inist-category.data.istex.fr/ark:/67375/RZL-8WSR7RNQ-S	"categories.scienceMetrix.raw:(""oncology & carcinogenesis"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-S6P5K12R-8	Statistics & Probability	http://www.science-metrix.com/fr/classification	Statistiques et probabilités	La théorie des probabilités est l'étude mathématique des phénomènes caractérisés par le hasard et l'incertitude ; la statistique est l'activité qui consiste à recueillir, traiter et interpréter un ensemble de données. Il existe des interconnexions entre ces deux domaines des sciences de l'aléatoire. 		Mathematics & Statistics		https://inist-category.data.istex.fr/ark:/67375/RZL-QQSMRB4F-S	"categories.scienceMetrix.raw:(""statistics & probability"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-X7WZFL0V-D	History of Social Sciences	http://www.science-metrix.com/fr/classification	Histoire des sciences sociales	Les sciences humaines et sociales sont un ensemble de disciplines étudiant divers aspects de la réalité humaine. On les oppose souvent aux sciences dures en raison de leurs sujets d'investigations. La différence entre les sciences humaines et sociales ne porte pas sur la plus grande exactitude de l'une vis-à-vis de l'autre (les sciences dures sont des sciences expérimentales : selon le principe de perfectibilité deKarl Popper les principes de ces sciences sont régulièrement remis en cause comme c'est le cas pour les sciences sociales) mais au sujet d'investigation : les sciences sociales portent sur l'analyse de l'Homme, de son histoire, de son passé voire de son futur. 		Communication & Textual Studies		https://inist-category.data.istex.fr/ark:/67375/RZL-WWBN6M3R-W	"categories.scienceMetrix.raw:(""history of social sciences"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-5GM0V6G1-0	Human Factors	http://www.science-metrix.com/fr/classification	Facteurs humains	Le facteur humain est la contribution humaine impliquée dans un événement, incluant l'erreur humaine. 		Psychology & Cognitive Sciences		https://inist-category.data.istex.fr/ark:/67375/RZL-Z5PK2LM9-B	"categories.scienceMetrix.raw:(""human factors"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-PRCL8J3H-W	Information & Communication Technologies	http://www.science-metrix.com/fr/classification	Technologies de l'information & de la communication			Applied Sciences	Artificial Intelligence & Image Processing ; Computation Theory & Mathematics ; Computer Hardware & Architecture ; Distributed Computing ; Information Systems ; Medical Informatics ; Networking & Telecommunications ; Software Engineering	https://inist-category.data.istex.fr/ark:/67375/RZL-ZZWWCX6R-2	"categories.scienceMetrix.raw:(""information & communication technologies"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-BS5MKTXV-L	Information & Library Sciences	http://www.science-metrix.com/fr/classification	Bibliothéconomie et sciences de l'information	1)La bibliothéconomie est l'ensemble des techniques de gestion et d'organisation des bibliothèques. Le terme de bibliothéconomie est de plus en plus souvent délaissé au profit de l'expression sciences de l'information et des bibliothèques. Le premier ouvrage de bibliothéconomie en français est de Gabriel Naudé. C'est l'Advis pour dresser une bibliothèque; il contient les recommandations sur le fonctionnement d'une bibliothèque. 2)La science de l'information (ou les sciences de l'information) est une science interdisciplinaire, branche des sciences de l'information et de la communication ayant pour objet scientifique l'information. Ainsi, la science de l'information s'intéresse aux dispositifs de gestion de l'information (base de données, moteur de recherche, site web, etc.) et à la manière dont ils sont conçus, gérés et utilisés. Par extension, elle s'attache à explorer et faire évoluer les principes et les méthodes de recherche, de traitement, d'archivage et de communication de l'information pour en faciliter l'accès et l'usage.  		Social Sciences		https://inist-category.data.istex.fr/ark:/67375/RZL-ZZWWCX6R-2	"categories.scienceMetrix.raw:(""information & library sciences"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-D2VX448C-Q	Inorganic & Nuclear Chemistry	http://www.science-metrix.com/fr/classification	Chimies inorganique et nucléaire	1)La chimie inorganique (dénomination d'origine anglo-saxonne), également appelée chimie minérale, est la branche la plus ancienne de la chimie. Elle comporte l'étude des divers corps simples existant dans la nature ou obtenus artificiellement et celle des composés qu'ils engendrent en réagissant les uns sur les autres, à l'exception des combinaisons avec le carbone qui sont étudiées à part et font l'objet de la chimie organique. 2)  		Chemistry		https://inist-category.data.istex.fr/ark:/67375/RZL-CQ66GD5G-R	"categories.scienceMetrix.raw:(""inorganic & nuclear chemistry"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
