uri; ;Nom long du corpus ISTEX;Description;Nom de l’éditeur;Liste des ressources;Information sur l’éditeur;Modèle conceptuel;Identifiant du corpus ISTEX;Licence;Domaine scientifique;Créateur;lien vers domaine scientifique;Publication;état de collection;Date de création;début;Date de modification;fin;nombre de titres de revue;nombre de titres de monographie;description;source;année d'acquisition;accès fichiers kbart - BACON - BAse de COnnaissance Nationale de l'ABES;bénéficiaires;licences nationales;langue de la ressource;chargement;année de chargement;cette ressource dans ISTEX
"ark:/67375/XBH-B4QPMMZB-D";"Référentiel des corpus chargés dans ISTEX";"De Gruyter-revues";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"De Gruyter";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-1JLL5NJT-J";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"degruyter-journals";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Pluridisciplinaire";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"Plateforme ISTEX";"Des origines à 2012";"2017-12-07";"1826";"2018-12-06";"2012";"474";"";"Archives de 474 titres de revues scientifiques pluridisciplinaires de 1826 à 2012. ";"https://www.licencesnationales.fr/liste-ressource/de-gruyter-revues/";"2015";"http://bacon.abes.fr/package2kbart/DEGRUYTER_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/DeGruyter_marche_2014-11_ISTEX_licence-signee.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2015";"corpusName.raw:""degruyter-journals"""
"ark:/67375/XBH-C67SBDHP-R";"Référentiel des corpus chargés dans ISTEX";"Emerald";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Emerald";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-GBTST89X-K";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"emerald";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Sciences économiques et gestion";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-KRHKFQ2C-L";"Plateforme ISTEX";"Des origines à 2010 ";"2017-12-07";"1898";"2018-12-06";"2010";"362";"";"Archives de 362 titres de revues scientifiques dans le domaines des sciences économique et gestion de 1898 à 2010.";"https://www.licencesnationales.fr/liste-ressource/emerald-revues/";"2015";"http://bacon.abes.fr/package2kbart/EMERALD_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/Emerald_Istex_Licence_signee.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2016";"corpusName.raw:""emerald"""
"ark:/67375/XBH-G3RCRD03-V";"Référentiel des corpus chargés dans ISTEX";"Cambridge University Press";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Cambridge University Press";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-7XSK0Q94-6";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"cambridge";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Pluridisciplinaire";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"Plateforme ISTEX";"Des origines à 2010";"2017-12-07";"1770";"2018-12-06";"2010";"312";"";"Archives de 312 titres de revues scientifiques pluridisciplinaires de 1770 à 2010.";"http://www.licencesnationales.fr/liste-ressource/cambridge-university-press-revues/";"2017";"http://bacon.abes.fr/package2kbart/CUP_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques";"http://www.licencesnationales.fr/liste-ressource/cambridge-university-press-revues/";"multilingue";"Disponible dans l’API-ISTEX";"2017";"corpusName.raw:""cambridge"""
"ark:/67375/XBH-G49QVQ7L-X";"Référentiel des corpus chargés dans ISTEX";"Brepols - Revues";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Brepols Publishers";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-N14T76M9-6";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"brepols-journals";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Lettres et sciences humaines";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-7DJ8J3D4-D";"Plateforme ISTEX";"Des origines à 2012";"2017-12-07";"1882";"2018-12-06";"2012";"45";"";"Archives de 45 titres de revues en histoire ancienne et médiévale, littérature, linguistique, pensée et théologie médiévales  de 1882 à 2012.";"https://www.licencesnationales.fr/liste-ressource/brepols-revues/";"2017";"https://bacon.abes.fr/package2kbart/BREPOLS_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, la BnF.";"http://www.licencesnationales.fr/wp-content/uploads/Marche_2017-05_Brepols_Licence.pdf";"Français";"Disponible dans l’API-ISTEX";"2018";"corpusName.raw:""brepols-journals"""
"ark:/67375/XBH-G60FFGKH-Q";"Référentiel des corpus chargés dans ISTEX";"ProQuest-Early English Books Online (EEBO)";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Proquest";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-RJ5JRQVP-5";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"eebo";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Lettres et sciences humaines";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-7DJ8J3D4-D";"Plateforme ISTEX";"Période de 1473 à 1700";"2017-12-07";"1473";"2018-12-06";"1700";"";"124221";"Archives de 124 221 titres de monographies scientifiques dans les domaines de la littérature anglaise, l’histoire, la philosophie, la linguistique, la théologie, la musique, les arts, l’éducation ou les sciences de 1473 à 1700.";"http://eebo.chadwyck.com/home";"2012";"";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les bibliothèques publiques, les bibliothèques du réseau culturel français à l’étranger.";"http://www.licencesnationales.fr/wordpress/wp-content/uploads/Licence_EEBO_2011-09.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2012";"corpusName.raw:""eebo"""
"ark:/67375/XBH-GTWS0RDP-M";"Référentiel des corpus chargés dans ISTEX";"Oxford University Press";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Oxford University Press";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-2FMXGPFT-2";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"oup";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Pluridisciplinaire";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"Plateforme ISTEX";"Des origines à 2012";"2017-12-07";"1827";"2018-12-06";"2012";"226";"";"Archives de 226 titres de revues scientifiques pluridisciplinaires de 1827 à 2012.";"https://www.licencesnationales.fr/liste-ressource/oxford-university-press-revues/";"2014";"http://bacon.abes.fr/package2kbart/OUP_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/OUP-Licence-2014-01-Signé.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2014";"corpusName.raw:""oup"""
"ark:/67375/XBH-HKKZVM7B-M";"Référentiel des corpus chargés dans ISTEX";"Elsevier";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Elsevier";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-C6NSG6CL-G";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"elsevier";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Pluridisciplinaire";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"Plateforme ISTEX";"Des origines à 2001";"2017-12-07";"1823";"2018-12-06";"2001";"2266";"";"Archives de 2 266 titres de revues scientifiques pluridisciplinaires constituées de la ""Freedom Collection"", ""Lancet"" et ""Cell Press"" de 1823 à  2001.";"https://www.licencesnationales.fr/liste-ressource/elsevier-revues/";"2014";"http://bacon.abes.fr/package2kbart/ELSEVIER_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/Licence-2013-20-ISTEX-ELSEVIER.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2014";"corpusName.raw:""elsevier"""
"ark:/67375/XBH-JTPD0WM6-L";"Référentiel des corpus chargés dans ISTEX";"Brill Hacco-Recueil des cours de l’Académie de La Haye ";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Brill Hacco";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-K2ZBW2MB-4";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"brill-hacco";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Sciences juridiques et politiques";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-2KXMFZP3-5";"Plateforme ISTEX";"Des origines à 2012";"2017-12-07";"1923";"2018-12-06";"2012";"";"368";"Archives de 338 volumes de cours de l’Académie de droit international de La Haye de 1923 à 2012, de 15 titres de ""Colloques/Workshop series"" de 1969 à 2008, de 8 titres de monographie de ""The Centre for Studies and Research in International Law and International Relations"" de 2000 à  2008 et de 7 titres de monographie de "" Law Books of the Academy"" de 1988 à 2010, dans le domaine des sciences juridiques";"http://www.brill.com/publications/online-resources/hague-academy-collected-courses-online-recueil-des-cours-de-lacademie-";"2014";"http://bacon.abes.fr/package2kbart/BRILL_FRANCE_ISTEXRADI";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/Licence-Brill-sign%C3%A9.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2015";"corpusName.raw:""brill-hacco"""
"ark:/67375/XBH-L0C46X92-X";"Référentiel des corpus chargés dans ISTEX";"Wiley";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Wiley ";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-QW5Q88H5-V";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"wiley";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Pluridisciplinaire";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"Plateforme ISTEX";"Des origines à 2015";"2017-12-07";"1791";"2018-12-06";"2015";"2223";"";"Archives de 2 223 de titres de revues scientifiques pluridisciplinaires de 1791 à 2015. La licence prévoit la livraison supplémentaire de l'année 2016 entre 2018 et 2019";"http://www.licencesnationales.fr/liste-ressource/numerique-premium-ebooks/";"2016";"http://bacon.abes.fr/package2kbart/WILEY_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/Licence-signee_ISTEX_Wiley.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2016";"corpusName.raw:""wiley"""
"ark:/67375/XBH-RLRX46XW-4";"Référentiel des corpus chargés dans ISTEX";"SpringerNature-ebooks";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Springer Nature";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-SWLMH5L1-1";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"springer-ebooks";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Sciences et techniques";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-LW5CBGBW-N";"Plateforme ISTEX";"Des origines à 2013";"2017-12-07";"1891";"2018-12-06";"2013";"";"34832";"Archives de 34 832 titres de monographies scientifiques dans le domaine des sciences et techniques de 1891 à 2013. ";"https://www.licencesnationales.fr/liste-ressource/springer-ebooks/";"2017";"https://bacon.abes.fr/package2kbart/SPRINGER_FRANCE_ISTEXEBOOKS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, la BnF, la BPI et toutes les bibliothèques publiques.";"https://www.licencesnationales.fr/liste-ressource/springer-ebooks/";"multilingue";"Disponible dans l’API-ISTEX";"2017";"corpusName.raw:""springer-ebooks"""
"ark:/67375/XBH-X8L7TBDG-3";"Référentiel des corpus chargés dans ISTEX";"The Geological Society - « Special Publications » de la « Lyell collection »";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"GSL Publishing";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-6CRTKTJN-V";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"gsl";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Sciences et techniques";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-LW5CBGBW-N";"Plateforme ISTEX";"Des origines à 2008";"2017-12-07";"1964";"2018-12-06";"2008";"";"305";"Archives de 305 titres de monographies dans le domaine des sciences de la Terre de 1964 à 2008 constituant la « Special Publications » , série phare de la Société géologique.";"https://www.licencesnationales.fr/liste-ressource/geological-society-of-london-publishing-ebooks/";"2017";"https://bacon.abes.fr/package2kbart/GSL_FRANCE_ISTEXEBOOKS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/Marche_2016-10_GSL_Licence.pdf";"Multilingue";"Disponible dans l’API-ISTEX";"2018";"corpusName.raw:""gsl"""
"ark:/67375/XBH-XPK2D80W-F";"Référentiel des corpus chargés dans ISTEX";"Numerique Premium - Littérature française et francophone et Révolution française et Premier Empire";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Numerique Premium";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-ZX4M1CKJ-Z";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"numerique-premium";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Lettres et sciences humaines";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-7DJ8J3D4-D";"Plateforme ISTEX";"Des origines à 2015";"2017-12-07";"1962";"2018-12-06";"2015";"";"268";"Archives de 268 titres de monographies scientifiques dans le domaine des lettres et de l'histoire avec deux bouquets ""Littérature française et francophone "" et ""Révolution française et Premier Empire"" de 1962 à 2015.";"http://www.licencesnationales.fr/liste-ressource/numerique-premium-ebooks/";"2017";"https://bacon.abes.fr/package2kbart/NUMERIQUEPREMIUM_FRANCE_ISTEXEBOOKS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, la BnF.";"http://www.licencesnationales.fr/wp-content/uploads/NumPrem_Licence_signe.pdf";"français";"Disponible dans l’API-ISTEX";"2017";"corpusName.raw:""numerique-premium"""
"ark:/67375/XBH-Z6ZBG4DQ-N";"Référentiel des corpus chargés dans ISTEX";"Royal Society of Chemistry-revues";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Royal Society of Chemistry";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-1368GWRS-X";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"rsc-journals";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Sciences et techniques";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-LW5CBGBW-N";"Plateforme ISTEX";"Des origines à 2014";"2017-12-07";"1841";"2018-12-06";"2014";"93";"";"Archives de 93 titres de revues scientifiques dans le domaine des sciences et techniques de 1841 à 2014.";"https://www.licencesnationales.fr/liste-ressource/royal-society-of-chemistry-revues/";"2014";"http://bacon.abes.fr/package2kbart/RSC_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/LICENCE-2013-16ISTEX-RSC.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2015";"corpusName.raw:""rsc-journals"""
