uri;  ;Nom Etablissement;Description;Type d'Etablissement;Liste des ressources;Autre label;Modèle conceptuel;Site internet;Licence;Fournisseur d'identités;Créateur;Source fournisseur d'identités;Publication;Alignement dataBnf;Date de création;Adresse;Date de modification;Rue ;Ville;Pays;Code Postal
"uid:/ABES6PRKERH3G";"Ayants droit à l'usage d' ISTEX";"CENTRE HOSPITALIER DE CAYENNE";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Hôpitaux universitaires";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.ch-cayenne.fr";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"";"30-08-2017";"";"31-07-2018";"AVENUE DES FLAMBOYANTS, BP 6006";"CAYENNE";"France";"97306"
"uid:/ABES6PUFG594Q";"Ayants droit à l'usage d' ISTEX";"Centre de Documentation Européenne";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Universités";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://ceu.univ-lorraine.fr/cde/";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"https://idp.univ-lorraine.fr/idp/shibboleth";"ISTEX";"https://federation.renater.fr/liste?action=view&file_id=6542b4a8f66e1fb72012";"Lodex team";"";"30-08-2017";"";"31-07-2018";"15 Place Carnot, CS44219";"NANCY";"France";"54042"
"uid:/ABES6RWFVV3PK";"Ayants droit à l'usage d' ISTEX";"Université de Bretagne Occidentale";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Universités";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.univ-brest.fr";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"https://federation3.univ-brest.fr/idp/shibboleth";"ISTEX";"https://federation.renater.fr/liste?action=view&file_id=d01d05bd35a527cbc178";"Lodex team";"http://data.bnf.fr/ark:/12148/cb11865698b";"30-08-2017";"";"31-07-2018";"3, rue des Archives, CS 93837";"BREST - CEDEX 3 ";"France";"29238"
"uid:/ABES6SYA537TM";"Ayants droit à l'usage d' ISTEX";"Bureau de Recherches Géologiques et Minières BRGM";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Enseignement Supérieur et Recherche";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.brgm.fr/";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"http://data.bnf.fr/ark:/12148/cb118625432";"30-08-2017";"";"31-07-2018";"3, avenue Claude Guillemin, BP 36009";"ORLEANS - CEDEX 2";"France";"45060"
"uid:/ABES6WTH79G4L";"Ayants droit à l'usage d' ISTEX";"Fondation nationale des sciences politiques";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Grands établissements publics";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.sciences-po.fr";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"http://data.bnf.fr/ark:/12148/cb11869512g";"30-08-2017";"";"31-07-2018";"27, rue Saint Guillaume";"PARIS - CEDEX 7";"France";"75337"
"uid:/ABES6X7FNIAZE";"Ayants droit à l'usage d' ISTEX";"GROUPE ESC PAU";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Écoles de management";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.esc-pau.fr";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"http://data.bnf.fr/ark:/12148/cb12548459t";"30-08-2017";"";"31-07-2018";"3, rue St John Perse";"PAU";"France";"64000"
"uid:/ABES6XNFN8NE4";"Ayants droit à l'usage d' ISTEX";"Centre Hospitalier Régional d'ORLEANS";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Hôpitaux universitaires";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.chr-orleans.fr";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"http://data.bnf.fr/ark:/12148/cb139890766";"30-08-2017";"";"31-07-2018";"Hopital de la Source, Bibliotheque médicale, CS 86709";"ORLEANS - CEDEX 2";"France";"45067"
"uid:/ABES6XPCYRHNR";"Ayants droit à l'usage d' ISTEX";"Centre Hospitalier Annecy Genevois / Institut de formation en soins infirmiers et aides-soignants";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"CHR";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.ch-annecygenevois.fr";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"";"30-08-2017";"";"31-07-2018";"1, avenue de l'hôpital, Metz-Tessy, BP 90074";"PRINGY";"France";"74374"
"uid:/ABES6YBI3TM4W";"Ayants droit à l'usage d' ISTEX";"Université de Reims Champagne-Ardenne";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Universités";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.univ-reims.fr/minisite_18/";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"https://shib.univ-reims.fr/idp/shibboleth";"ISTEX";"https://federation.renater.fr/liste?action=view&file_id=86f1a4d894bcdbed0f82";"Lodex team";"http://data.bnf.fr/ark:/12148/cb118657618";"30-08-2017";"";"31-07-2018";"Avenue François Mauriac, Bibliothèque Universitaire, CS 40019";"REIMS - CEDEX 2";"France";"51726"
"uid:/ABES709KHX61G";"Ayants droit à l'usage d' ISTEX";"ESME Sudria";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Écoles d'ingénieurs";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.esme.fr";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"http://data.bnf.fr/ark:/12148/cb12236541t";"30-08-2017";"";"31-07-2018";"38, rue Molière";"IVRY-SUR-SEINE";"France";"94200"
