Code	Langue	Source	Description	Infos RERO	nb Docs total	URI LEXVO	nb de doc entre 1301-1400	nb de doc entre 1401-1500	nb de doc entre 1501-1600	nb de doc entre 1601-1700	nb de doc entre 1701-1800	nb de doc entre 1801-1900	nb de doc entre 1901-2000	nb de doc entre 2001-2100	Statut : code	Statut : verbalisation	Statut : description	Statut : source	Classification
roa	romanes (langues)	http://www.iso.org/iso/fr/home/standards/language_codes.htm	n/a	espagnol, vieil (avant 1500) 	https://api.istex.fr/document/?q=language:roa	http://lexvo.org/id/iso639-5/roa	https://api.istex.fr/document/?q=language:roa AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:roa AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:roa AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:roa AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:roa AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:roa AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:roa AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:roa AND publicationDate:[2001 TO 2100]	n/a
pol	polonais	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Poland		https://api.istex.fr/document/?q=language:pol	http://lexvo.org/id/iso639-3/pol	https://api.istex.fr/document/?q=language:pol AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:pol AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:pol AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:pol AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:pol AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:pol AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:pol AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:pol AND publicationDate:[2001 TO 2100]	1	National	Statutory national language (1997, Constitution, Article 27)	https://www.ethnologue.com/language/pol	Indo-European, Balto-Slavic, Slavic, West, Lechitic
grc	grec ancien	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Greece	"(jusqu'à 1453) ;  chypriote ; cypriote ;  linéaire B ; mycénien"	https://api.istex.fr/document/?q=language:grc	http://lexvo.org/id/iso639-3/grc	https://api.istex.fr/document/?q=language:grc AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:grc AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:grc AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:grc AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:grc AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:grc AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:grc AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:grc AND publicationDate:[2001 TO 2100]	10	Extinct		https://www.ethnologue.com/language/grc	Indo-European, Greek, Attic
por	portugais	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Portugal		https://api.istex.fr/document/?q=language:por	http://lexvo.org/id/iso639-3/por	https://api.istex.fr/document/?q=language:por AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:por AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:por AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:por AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:por AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:por AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:por AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:por AND publicationDate:[2001 TO 2100]	1	National	Statutory national language (2005, Constitution, Article 11(3))	https://www.ethnologue.com/language/por	Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, West Iberian, Portuguese-Galician
heb	hébreu	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Israel		https://api.istex.fr/document/?q=language:heb	http://lexvo.org/id/iso639-3/heb	https://api.istex.fr/document/?q=language:heb AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:heb AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:heb AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:heb AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:heb AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:heb AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:heb AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:heb AND publicationDate:[2001 TO 2100]	1	National	Statutory national language (1922, Palestine Order in Council, Article 82, 10 October)	https://www.ethnologue.com/language/heb	Afro-Asiatic, Semitic, Central, South, Canaanite
gre	grec moderne	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Greece	(après 1453)	https://api.istex.fr/document/?q=language:gre	http://lexvo.org/id/iso639-3/ell	https://api.istex.fr/document/?q=language:gre AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:gre AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:gre AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:gre AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:rre AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:gre AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:gre AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:gre AND publicationDate:[2001 TO 2100]	1	National	De facto national language	https://www.ethnologue.com/language/ell	Indo-European, Greek, Attic
mul	multilingue	http://www.iso.org/iso/fr/home/standards/language_codes.htm	n/a	(le document contient plus de 6 langues)	https://api.istex.fr/document/?q=language:mul	http://lexvo.org/id/iso639-3/mul	https://api.istex.fr/document/?q=language:mul AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:mul AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:mul AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:mul AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:mul AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:mul AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:mul AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:mul AND publicationDate:[2001 TO 2100]	n/a
und	indéterminé	http://www.iso.org/iso/fr/home/standards/language_codes.htm	n/a		https://api.istex.fr/document/?q=language:und	http://lexvo.org/id/iso639-3/und	https://api.istex.fr/document/?q=language:und AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:und AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:und AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:und AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:und AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:und AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:und AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:und AND publicationDate:[2001 TO 2100]	n/a
frm	français moyen	http://www.iso.org/iso/fr/home/standards/language_codes.htm	n/a	(1400-1600)	https://api.istex.fr/document/?q=language:frm	http://lexvo.org/id/iso639-3/frm	https://api.istex.fr/document/?q=language:frm AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:frm AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:frm AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:frm AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:frm AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:frm AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:frm AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:frm AND publicationDate:[2001 TO 2100]	n/a
ara	arabe	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A macrolanguage of Saudi Arabia		https://api.istex.fr/document/?q=language:ara	http://lexvo.org/id/iso639-3/ara	https://api.istex.fr/document/?q=language:ara AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:ara AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:ara AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:ara AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:ara AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:ara AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:ara AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:ara AND publicationDate:[2001 TO 2100]	n/a
